EPIC Mafia;;;;;;;;;;;;;;
Members;Respect;Best;Avg;Attacks;Leave;Mug;Hosp;War;Assist;Retal;Overseas;Draw;Escape;Loss
Dummy999DUMMY999 [3798738];7;4.08;3.41;2;2;0;0;0;0;0;0;0;0;0
AI-AI- [3795407];0;0.00;0.00;0;0;0;0;0;2;0;0;0;0;7
JNIXIEJNIXIE [1995664];0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0
SherezadaSHEREZADA [3002536];0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0
ColeX6COLEX6 [3689656];0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0
JarredGOONSJARREDGOONS [3710950];0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0
DeezPandaDEEZPANDA [3743832];0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0
ArlechinulARLECHINUL [3766372];0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0
BraydenOswellBRAYDENOSWELL [3800713];0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0
AreywingsAREYWINGS [3810545];0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0
